,Song,Artist,pos,neu,neg,Sentiment
281,Deja Vu,J. Cole,0.0,0.0,0.0,
282,Panda,Desiigner,0.0,0.0,0.0,
283,On Your Side,The Veronicas,0.0,97.87234042553192,2.127659574468085,Negative
284,Adore,Amy Shark,20.0,80.0,0.0,Positive
285,Caroline,Aminï¿½,12.345679012345679,70.37037037037037,17.28395061728395,Negative
286,Fast Car,"Jonas Blue, Dakota",0.0,96.7741935483871,3.225806451612903,Negative
287,7 Years,Lukas Graham,0.0,0.0,0.0,
288,"i hate u, i love u (feat. olivia o'brien)",gnash,0.0,0.0,0.0,
289,The Greatest,Sia,30.864197530864196,69.1358024691358,0.0,Positive
290,What Do You Mean?,Justin Bieber,0.0,0.0,0.0,
291,Ride,Twenty One Pilots,0.0,0.0,0.0,
292,Into You,Ariana Grande,0.0,100.0,0.0,Neutral
293,Faded,Alan Walker,0.0,0.0,0.0,
294,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,0.0,0.0,0.0,
295,Work,"Rihanna, Drake",0.0,0.0,0.0,
296,Cool Girl,Tove Lo,33.9622641509434,66.0377358490566,0.0,Positive
297,Let Me Hold You (Turn Me On),"Dante Klein, Cheat Codes",0.0,100.0,0.0,Neutral
298,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,0.0,0.0,0.0,
299,Sunset Lover,Petit Biscuit,0.0,0.0,0.0,
300,Stressed Out,Twenty One Pilots,0.0,0.0,0.0,
301,Send My Love (To Your New Lover),Adele,36.486486486486484,63.51351351351351,0.0,Positive
302,Come First,Terror Jr,4.444444444444445,93.33333333333333,2.2222222222222223,Positive
303,Sex,"Cheat Codes, Kris Kross Amsterdam",1.5873015873015872,85.71428571428571,12.698412698412698,Negative
304,Cake By The Ocean,DNCE,11.29032258064516,79.03225806451613,9.67741935483871,Positive
305,Needed Me,Rihanna,2.083333333333333,75.0,22.916666666666664,Negative
306,Mr. Brightside,The Killers,10.909090909090908,80.0,9.090909090909092,Positive
307,Rockin,The Weeknd,0.0,0.0,0.0,
308,Riptide,Vance Joy,8.47457627118644,91.52542372881356,0.0,Positive
309,Thinking out Loud,Ed Sheeran,0.0,0.0,0.0,
310,Gold,Kiiara,16.666666666666664,83.33333333333334,0.0,Positive
311,Controlla,Drake,14.473684210526317,81.57894736842105,3.9473684210526314,Positive
312,Uptown Funk (feat. Bruno Mars),Mark Ronson,0.0,0.0,0.0,
313,Sugar,Maroon 5,32.857142857142854,60.0,7.142857142857142,Positive
314,Roses (feat. ROZES),The Chainsmokers,0.0,0.0,0.0,
315,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,0.0,0.0,0.0,
316,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,0.0,0.0,0.0,
317,Hello,Adele,0.0,0.0,0.0,
318,Lush Life,Zara Larsson,6.097560975609756,93.90243902439023,0.0,Positive
319,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,0.0,0.0,0.0,
320,It's Gotta Be You,Isaiah Firebrace,5.357142857142857,94.64285714285714,0.0,Positive
321,Alarm,Anne-Marie,5.714285714285714,82.85714285714286,11.428571428571429,Negative
322,Ignition - Remix,R. Kelly,10.975609756097562,87.8048780487805,1.2195121951219512,Positive
